product_name,brands,energy_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,sugars_100g,salt_100g,price,nutrition_score
Organic Blueberry Almond Granola,Sunridge,1674.0,10.91,70.91,9.09,7.3,29.09,0.04572,3,65
Organic Yellow Split Peas,Unfi,1582.0,28.89,68.89,1.11,28.9,8.89,0.05588,2,154
35% Fruit And Fiber Muesli,Golden Temple,1523.0,10.91,70.91,4.55,9.1,23.64,0.18542,2,71
"Peanuts, Mixed Nuts",Northgate Market,2389.0,25.0,25.0,42.86,7.1,14.29,0.54356,4,99
Swiss-Style Muesli,Grizzlies,1749.0,12.73,60.0,16.36,10.9,16.36,0.02286,3,82
Crêpes jambon fromage,Bo Frost,678.0,8.2,17.0,6.6,0.9,3.7,0.73,2,58
Marmite Original Pate A Tartiner 125G,Marmite,1046.0,39.0,24.0,1.0,3.5,1.0,9.8,4,108
Whey Protein aus Molke Vanilla,allfitnessfactory.de,1644.0,78.05,8.8,4.6,0.1,6.0,1.21158,2,194
Whey Protein aus Molke 1000 Gramm Vanilla,allfitnessfactory.de,1644.0,78.05,8.8,4.6,0.1,6.0,1.21158,6,194
Whey Protein aus Molke 500 Gramm Vanilla,allfitnessfactory.de,1644.0,78.05,8.8,4.6,0.1,6.0,1.21158,2,194
